Code_INSEE,Nom,Creation,Suppression,Latitude,Longitude
2B366,Chisa,1946,,41.9252777778,9.26388888889
2B365,San-Gavino-di-Fiumorbo,1939,,41.9844444444,9.26916666667
2B075,Casevecchie,1866,,42.1436111111,9.36083333333
2B121,Galéria,1864,,42.41,8.64916666667
2B153,Manso,1600,,42.3666666667,8.79305555556
2B002,Aghione,1864,,42.1125,9.40138888889
2B123,Ghisonaccia,1845,,42.0175,9.40555555556
2B009,Aléria,1824,,42.1147222222,9.51333333333
99999,Piano,1800,,42.15,9.08
2B277,Serra-di-Fiumorbo,1800,,41.9861111111,9.33666666667
2B231,Pigna,1792,,42.6002777778,8.90277777778
